"id","name","lat","lng","url"
"46339","草尾581-4駐車場","34.513223","135.540289","https://btimes.jp/osaka/park/46339/"
"30001","河合2-1-13駐車場","34.568884","135.546407","https://btimes.jp/osaka/park/30001/"
"30002","河合2-1-13駐車場","34.568884","135.546407","https://btimes.jp/osaka/park/30002/"
"44666","河合2-1-13駐車場","34.568884","135.546407","https://btimes.jp/osaka/park/44666/"
"56401","河合2-1-13駐車場","34.568884","135.546407","https://btimes.jp/osaka/park/56401/"
"43462","ＵＲ藤沢台第五団地駐車場","34.502422","135.574416","https://btimes.jp/osaka/park/43462/"
"56586","ＵＲ白鷺団地駐車場","34.544288","135.520005","https://btimes.jp/osaka/park/56586/"
"32528","サンプラザ島泉店　第２駐車場","34.574042","135.581327","https://btimes.jp/osaka/park/32528/"
"55769","南新町1丁目15番21号田中モータープール駐車場","34.574559","135.539852","https://btimes.jp/osaka/park/55769/"
"59599","ＵＲ下野池団地駐車場","34.560741","135.519452","https://btimes.jp/osaka/park/59599/"
"39373","三宅第１駐車場","34.58216","135.557766","https://btimes.jp/osaka/park/39373/"
"32882","金岡東G団地　2-03駐車場","34.563519","135.520917","https://btimes.jp/osaka/park/32882/"
"32884","金岡東G団地　2-02・08駐車場","34.563809","135.521046","https://btimes.jp/osaka/park/32884/"
"60531","金岡東C・E団地駐車場","34.566128","135.522842","https://btimes.jp/osaka/park/60531/"
"60529","金岡東C・E団地駐車場","34.566709","135.523137","https://btimes.jp/osaka/park/60529/"
"60530","金岡東C・E団地駐車場","34.566359","135.522767","https://btimes.jp/osaka/park/60530/"
"32889","金岡東G団地　2-01・09駐車場","34.564037","135.520642","https://btimes.jp/osaka/park/32889/"
"60523","金岡東C・E団地駐車場","34.565809","135.521947","https://btimes.jp/osaka/park/60523/"
"56585","ＵＲ中百舌鳥公園団地駐車場","34.548772","135.51216","https://btimes.jp/osaka/park/56585/"
"31706","ＯＰＨ新金岡駐車場","34.563428","135.51964","https://btimes.jp/osaka/park/31706/"
"60527","金岡東C・E団地駐車場","34.566583","135.522386","https://btimes.jp/osaka/park/60527/"
"60524","金岡東C・E団地駐車場","34.56608","135.521732","https://btimes.jp/osaka/park/60524/"
"60525","金岡東C・E団地駐車場","34.566443","135.521872","https://btimes.jp/osaka/park/60525/"
"31432","金岡東Ｉ団地駐車場","34.564248","135.51966","https://btimes.jp/osaka/park/31432/"
